test_name,C++Kernel,C++E2E,C++7BKernel,C++7BE2E,NumPy,MLX,TensorflowKernel,TensorflowE2E,PyTorchKernel,PyTorchE2E,GaudiKernel,GaudiE2E,Gemmini,NP Speedup Kernel,NP Speedup E2E,MLX Speedup Kernel,MLX Speedup E2E,TF Speedup Kernel,TF Speedup E2E,PT Speedup Kernel,PT Speedup E2E,Gaudi Speedup Kernel ,Gaudi Speedup E2E,Gemmini Speedup Kernel,Gemmini Speedup E2E,C++GemminiKernel,C++GemminiE2E
translate_array,6661.1,7767.54,,,559.9035731,2809.434275,3855.983092,5165.309642,356.2359321,4864.987581,37.7,8739.89,,11.89686996,13.87299595,2.370975559,2.764805737,1.727471268,1.503789809,18.69856295,1.596620725,176.6870027,0.8887457394,,,,
Average darknet per backend,,,,,,,,,,,,,,5.96404319,7.735813807,1.659393417,2.265967948,1.399529893,1.253823301,15.42064781,1.145137418,104.5434404,0.7661389891,1.011093609,1.610520618,,
GMean darknet per backend,,,,,,,,,,,,,,3.123026981,5.291597524,1.058670623,1.793791371,0.6573479315,0.8543566257,8.182575267,1.032672233,28.76117894,0.5935244545,0.001849668645,0.004127061142,,
dsp,,,,,,,,,,,,,,,,,,,,,,,,,,,
matadd,7534.69,10047.3,,,928.6617402,2969.498872,9418.506584,10803.06847,336.1440619,7496.689845,44.63,7735.22,65695.23,8.113492431,10.81911698,2.537360789,3.383500191,0.7999877616,0.9300413146,22.41506203,1.340231517,168.8256778,1.29890294,0.1421069688,0.2437011028,9335.75,16010
matscal,7148.63,8063.29,,,554.2589407,2944.160906,5734.733388,6911.393735,401.2291172,5156.839217,22.55,6948.11,3839.57,12.89763588,14.54787538,2.428070418,2.738739579,1.246549668,1.166666277,17.81682758,1.563610898,160.355092,1.035455665,2.431371221,3.329122792,9335.42,12782.4
matsub,7715.02,10213.3,,,891.0205919,2949.978535,9664.1132,10823.79982,334.1438813,6989.467291,44.58,7787.19,65950.13,8.658632662,11.46247359,2.615280046,3.462160785,0.7983163939,0.9435965347,23.08891598,1.461241547,173.0601166,1.311551407,0.1395146605,0.2381223509,9201.01,15704.2
vadd,6726.43,9492.77,,,853.5417886,2617.660571,5540.192427,7146.981899,283.2931663,7348.636211,76.064,9468.086,1724.37,7.880610053,11.12162301,2.569634151,3.626432741,1.214114869,1.328220798,23.74370723,1.291773021,88.43118952,1.002607074,0.01117497985,0.01163335015,19.2698,20.0602
vcopy,7051.57,8144.65,,,4.678115994,14.83407368,1826.854536,2640.896953,83.41899263,4474.708846,162.75,4864.06,,1507.352535,1741.0107,475.3630158,549.0501245,3.85995155,3.084046877,84.53194864,1.820151943,43.32761905,1.674455085,,,,
vmul,6938.67,9618.41,,,852.7988138,2563.262624,5696.933322,7336.777811,259.7062424,7105.102238,75.861,9423.87,,8.136350436,11.27863905,2.706968039,3.752409101,1.217965808,1.310985592,26.71737859,1.353732808,91.4655752,1.020643324,,,,
vneg,6525.31,7593.08,,,568.0469381,2802.864198,3559.827741,4783.861275,321.0831895,4801.682697,37.94,8748.49,,11.48727255,13.36699398,2.328086393,2.70904313,1.833040943,1.5872283,20.32280174,1.58133731,171.9902478,0.8679303514,,,,
